node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
467,468,0.2261700026022,-48.9940686150699,-20.8979682392497,-49.0063360339047,-20.8891462640328,0.2261700026022,0,2015.02161890037,2015.24778890297,NA,other,other
467,645,0.250680715427,-48.9940686150699,-20.8979682392497,-48.6960583406825,-20.7992721712411,0.250680715427,0,2015.02161890037,2015.2722996158,NA,other,other
645,154,0.3523579184494,-48.6960583406825,-20.7992721712411,-50.7243659830889,-15.8809171470521,0.6030386338764,0.250680715427,2015.2722996158,2015.62465753425,MK333804|Brazil|GO|NovoBrasil|NP|Sapajus|NA|2015-08-17,other,other
468,621,0.5598450596533,-49.0063360339047,-20.8891462640328,-49.3732850020451,-21.3125214239935,0.7860150622555,0.2261700026022,2015.24778890297,2015.80763396263,NA,other,other
468,469,0.9703377704607,-49.0063360339047,-20.8891462640328,-41.3418177844503,-20.1927530897831,1.1965077730629,0.2261700026022,2015.24778890297,2016.21812667343,NA,other,other
469,470,0.05877898583327,-41.3418177844503,-20.1927530897831,-41.2757947270437,-20.3096103633439,1.25528675889617,1.1965077730629,2016.21812667343,2016.27690565927,NA,other,other
645,646,1.009337642503,-48.6960583406825,-20.7992721712411,-48.8833295898388,-21.0328536935503,1.26001835793,0.250680715427,2015.2722996158,2016.2816372583,NA,other,other
646,652,0.043230272187,-48.8833295898388,-21.0328536935503,-48.8061828787053,-21.1031059079005,1.303248630117,1.26001835793,2016.2816372583,2016.32486753049,NA,other,other
621,622,0.560449358538,-49.3732850020451,-21.3125214239935,-48.7061570168483,-21.0591711842844,1.3464644207935,0.7860150622555,2015.80763396263,2016.36808332116,NA,other,other
652,655,0.07629526287729,-48.8061828787053,-21.1031059079005,-48.9010231610833,-21.1814483074103,1.37954389299429,1.303248630117,2016.32486753049,2016.40116279337,NA,other,other
621,627,0.6575214630212,-49.3732850020451,-21.3125214239935,-44.8308009123151,-20.2506682211318,1.4435365252767,0.7860150622555,2015.80763396263,2016.46515542565,NA,other,other
655,725,0.0963900526088,-48.9010231610833,-21.1814483074103,-48.8051610482402,-21.0661762877977,1.47593394560309,1.37954389299429,2016.40116279337,2016.49755284597,NA,other,other
470,471,0.2254875385704,-41.2757947270437,-20.3096103633439,-41.0669410450672,-20.2860550281654,1.48077429746657,1.25528675889617,2016.27690565927,2016.50239319784,NA,other,other
471,514,0.02605325298439,-41.0669410450672,-20.2860550281654,-41.0070017157039,-20.2576245569838,1.50682755045096,1.48077429746657,2016.50239319784,2016.52844645082,NA,other,other
655,656,0.1431313801375,-48.9010231610833,-21.1814483074103,-49.0160805216316,-21.2311522565891,1.52267527313179,1.37954389299429,2016.40116279337,2016.5442941735,NA,other,other
622,623,0.176803323343,-48.7061570168483,-21.0591711842844,-48.8355045547226,-21.0906767442793,1.5232677441365,1.3464644207935,2016.36808332116,2016.54488664451,NA,other,other
623,626,0.01153022313399,-48.8355045547226,-21.0906767442793,-48.8172104828337,-21.0833676579553,1.53479796727049,1.5232677441365,2016.54488664451,2016.55641686764,NA,other,other
656,657,0.01833437644209,-49.0160805216316,-21.2311522565891,-49.0423119840845,-21.2400885710259,1.54100964957388,1.52267527313179,2016.5442941735,2016.56262854994,NA,other,other
725,726,0.08340531677606,-48.8051610482402,-21.0661762877977,-48.8024642894252,-20.9920585582997,1.55933926237915,1.47593394560309,2016.49755284597,2016.58095816275,NA,other,other
470,563,0.3123634587825,-41.2757947270437,-20.3096103633439,-41.8306843452166,-20.4506312696567,1.56765021767867,1.25528675889617,2016.27690565927,2016.58926911805,NA,other,other
725,738,0.1168312798948,-48.8051610482402,-21.0661762877977,-48.7202889992198,-21.1003450797483,1.59276522549789,1.47593394560309,2016.49755284597,2016.61438412587,NA,other,other
469,608,0.4011906830257,-41.3418177844503,-20.1927530897831,-42.8064679985132,-19.4057335105345,1.5976984560886,1.1965077730629,2016.21812667343,2016.61931735646,NA,other,other
